Tue Jul  9 09:52:18 2024    output.prof

         22057664 function calls (20662531 primitive calls) in 18.189 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.108    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/np/arrayobj.py:459(_getitem_array_generic)
7507/6741    0.008    0.000    0.107    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/types/abstract.py:61(__call__)
      136    0.003    0.000    0.106    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/ssa.py:146(_find_defs_violators)
      136    0.009    0.000    0.104    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/byteflow.py:94(run)
        1    0.000    0.000    0.104    0.104 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1617(_start)
       17    0.000    0.000    0.103    0.006 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1433(dispatch_one_batch)
      548    0.000    0.000    0.100    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/ir.py:1542(infer_constant)
       16    0.000    0.000    0.100    0.006 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1388(_dispatch)
151247/150003    0.033    0.000    0.100    0.000 {method 'join' of 'str' objects}
  861/548    0.001    0.000    0.100    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/consts.py:24(infer_constant)
   360597    0.027    0.000    0.100    0.000 {method 'get' of 'dict' objects}
